"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 30 19:28:37 GMT 2021","Fri Jul 30 19:29:03 GMT 2021","26444","tests","test_test01","","","","test_registration",""
"passed","Fri Jul 30 19:30:12 GMT 2021","Fri Jul 30 19:31:35 GMT 2021","82605","tests","test_test03","","","","test_test03",""
"passed","Fri Jul 30 19:29:03 GMT 2021","Fri Jul 30 19:30:12 GMT 2021","68434","tests","test_test02","","","","test_login",""
