"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 30 13:26:30 GMT 2021","Fri Jul 30 13:26:52 GMT 2021","21319","tests","test_articles_list","","","","test_articles_list",""
"passed","Fri Jul 30 13:28:09 GMT 2021","Fri Jul 30 13:28:17 GMT 2021","7886","tests","test_new_article","","","","test_new_article",""
"passed","Fri Jul 30 13:26:52 GMT 2021","Fri Jul 30 13:26:57 GMT 2021","4889","tests","test_cookie_policy_accept","","","","test_cookie_policy_accept",""
"broken","Fri Jul 30 13:28:17 GMT 2021","Fri Jul 30 13:28:20 GMT 2021","3581","tests","test_test01","","","","test_registration",""
"passed","Fri Jul 30 13:27:01 GMT 2021","Fri Jul 30 13:28:09 GMT 2021","68462","tests","test_login","","","","test_login",""
"passed","Fri Jul 30 13:26:57 GMT 2021","Fri Jul 30 13:27:01 GMT 2021","3821","tests","test_cookie_policy_decline","","","","test_cookie_policy_decline",""
