"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 30 18:47:59 GMT 2021","Fri Jul 30 18:48:02 GMT 2021","3770","tests","test_cookie_policy_decline","","","","test_cookie_policy_decline",""
"broken","Fri Jul 30 18:49:11 GMT 2021","Fri Jul 30 18:49:13 GMT 2021","2633","tests","test_test01","","","","test_registration",""
"passed","Fri Jul 30 18:47:39 GMT 2021","Fri Jul 30 18:47:54 GMT 2021","14297","tests","test_articles_list","","","","test_articles_list",""
"passed","Fri Jul 30 18:47:54 GMT 2021","Fri Jul 30 18:47:59 GMT 2021","4956","tests","test_cookie_policy_accept","","","","test_cookie_policy_accept",""
"passed","Fri Jul 30 18:48:02 GMT 2021","Fri Jul 30 18:49:11 GMT 2021","68505","tests","test_login","","","","test_login",""
"broken","Fri Jul 30 18:49:14 GMT 2021","Fri Jul 30 18:49:15 GMT 2021","1606","tests","test_test02","","","","test_login",""
"passed","Fri Jul 30 18:49:15 GMT 2021","Fri Jul 30 18:50:27 GMT 2021","71450","tests","test_test03","","","","test_test03",""
