"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 30 18:43:44 GMT 2021","Fri Jul 30 18:44:52 GMT 2021","67842","tests","test_login","","","","test_login",""
"passed","Fri Jul 30 18:43:35 GMT 2021","Fri Jul 30 18:43:40 GMT 2021","4891","tests","test_cookie_policy_accept","","","","test_cookie_policy_accept",""
"passed","Fri Jul 30 18:44:52 GMT 2021","Fri Jul 30 18:44:59 GMT 2021","7295","tests","test_new_article","","","","test_new_article",""
"passed","Fri Jul 30 18:43:27 GMT 2021","Fri Jul 30 18:43:35 GMT 2021","8021","tests","test_articles_list","","","","test_articles_list",""
"broken","Fri Jul 30 18:45:02 GMT 2021","Fri Jul 30 18:45:02 GMT 2021","549","tests","test_test02","","","","test_login",""
"broken","Fri Jul 30 18:44:59 GMT 2021","Fri Jul 30 18:45:02 GMT 2021","2575","tests","test_test01","","","","test_registration",""
"broken","Fri Jul 30 18:45:02 GMT 2021","Fri Jul 30 18:45:12 GMT 2021","9337","tests","test_test03","","","","test_test03",""
"passed","Fri Jul 30 18:43:40 GMT 2021","Fri Jul 30 18:43:44 GMT 2021","3768","tests","test_cookie_policy_decline","","","","test_cookie_policy_decline",""
