"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 28 06:31:31 GMT 2021","Wed Jul 28 06:32:40 GMT 2021","68842","tests","test_login","","","","test_login",""
"passed","Wed Jul 28 06:31:13 GMT 2021","Wed Jul 28 06:31:22 GMT 2021","8641","tests","test_articles_list","","","","test_articles_list",""
"passed","Wed Jul 28 06:31:22 GMT 2021","Wed Jul 28 06:31:27 GMT 2021","4985","tests","test_cookie_policy_accept","","","","test_cookie_policy_accept",""
"passed","Wed Jul 28 06:32:40 GMT 2021","Wed Jul 28 06:32:48 GMT 2021","8181","tests","test_new_article","","","","test_new_article",""
"passed","Wed Jul 28 06:31:27 GMT 2021","Wed Jul 28 06:31:31 GMT 2021","3866","tests","test_cookie_policy_decline","","","","test_cookie_policy_decline",""
"passed","Wed Jul 28 06:32:48 GMT 2021","Wed Jul 28 06:33:13 GMT 2021","24576","tests","test_registration","","","","test_registration",""
