"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 30 18:39:20 GMT 2021","Fri Jul 30 18:39:25 GMT 2021","4773","tests","test_cookie_policy_decline","","","","test_cookie_policy_decline",""
"passed","Fri Jul 30 18:39:15 GMT 2021","Fri Jul 30 18:39:20 GMT 2021","4921","tests","test_cookie_policy_accept","","","","test_cookie_policy_accept",""
"passed","Fri Jul 30 18:39:07 GMT 2021","Fri Jul 30 18:39:15 GMT 2021","8275","tests","test_articles_list","","","","test_articles_list",""
"broken","Fri Jul 30 18:40:40 GMT 2021","Fri Jul 30 18:40:43 GMT 2021","2606","tests","test_test01","","","","test_registration",""
"passed","Fri Jul 30 18:40:34 GMT 2021","Fri Jul 30 18:40:40 GMT 2021","6814","tests","test_new_article","","","","test_new_article",""
"passed","Fri Jul 30 18:39:25 GMT 2021","Fri Jul 30 18:40:34 GMT 2021","68530","tests","test_login","","","","test_login",""
"broken","Fri Jul 30 18:40:43 GMT 2021","Fri Jul 30 18:40:45 GMT 2021","1597","tests","test_test02","","","","test_login",""
