"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 30 18:54:19 GMT 2021","Fri Jul 30 18:55:28 GMT 2021","69017","tests","test_test02","","","","test_login",""
"passed","Fri Jul 30 18:55:28 GMT 2021","Fri Jul 30 18:56:40 GMT 2021","71941","tests","test_test03","","","","test_test03",""
"broken","Fri Jul 30 18:54:00 GMT 2021","Fri Jul 30 18:54:19 GMT 2021","19527","tests","test_test01","","","","test_registration",""
