"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 30 19:27:53 GMT 2021","Fri Jul 30 19:28:24 GMT 2021","31499","tests","test_test01","","","","test_registration",""
"broken","Fri Jul 30 19:29:35 GMT 2021","Fri Jul 30 19:29:45 GMT 2021","9905","tests","test_test03","","","","test_test03",""
"passed","Fri Jul 30 19:28:24 GMT 2021","Fri Jul 30 19:29:35 GMT 2021","70659","tests","test_test02","","","","test_login",""
