"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 27 06:58:44 GMT 2021","Tue Jul 27 06:58:45 GMT 2021","925","tests","test_cookie_policy_accept","","","","test_cookie_policy_accept",""
"broken","Tue Jul 27 06:58:53 GMT 2021","Tue Jul 27 06:58:55 GMT 2021","2310","tests","test_registration","","","","test_registration",""
"passed","Tue Jul 27 06:58:45 GMT 2021","Tue Jul 27 06:58:50 GMT 2021","5070","tests","test_cookie_policy_decline","","","","test_cookie_policy_decline",""
"broken","Tue Jul 27 06:58:50 GMT 2021","Tue Jul 27 06:58:53 GMT 2021","2941","tests","test_new_article","","","","test_new_article",""
"broken","Tue Jul 27 06:58:50 GMT 2021","Tue Jul 27 06:58:50 GMT 2021","327","tests","test_login","","","","test_login",""
"broken","Tue Jul 27 06:58:42 GMT 2021","Tue Jul 27 06:58:44 GMT 2021","1951","tests","test_articles_list","","","","test_articles_list",""
