"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Jul 27 07:17:12 GMT 2021","Tue Jul 27 07:17:14 GMT 2021","1667","tests","test_articles_list","","","","test_articles_list",""
"broken","Tue Jul 27 07:17:18 GMT 2021","Tue Jul 27 07:17:18 GMT 2021","219","tests","test_new_article","","","","test_new_article",""
"broken","Tue Jul 27 07:17:16 GMT 2021","Tue Jul 27 07:17:17 GMT 2021","1561","tests","test_cookie_policy_decline","","","","test_cookie_policy_decline",""
"broken","Tue Jul 27 07:17:14 GMT 2021","Tue Jul 27 07:17:16 GMT 2021","1599","tests","test_cookie_policy_accept","","","","test_cookie_policy_accept",""
"broken","Tue Jul 27 07:17:18 GMT 2021","Tue Jul 27 07:17:20 GMT 2021","2266","tests","test_registration","","","","test_registration",""
"broken","Tue Jul 27 07:17:17 GMT 2021","Tue Jul 27 07:17:18 GMT 2021","290","tests","test_login","","","","test_login",""
